Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Synopsis,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank
Two Weeks,"Aug 7, 2013 - Sep 26, 2013",2013,MBC,"Wednesday, Thursday",16.0,1 hr. 8 min.,15+ - Teens 15 or older,8.5,jang tae san works at a pawn shop by day and prostitutes himself to older women at night. one day  he's contacted by his ex-girlfriend that he is the father of her daughter with leukemia  and he's the last chance to donate bone marrow and save their daughter's life. that same day  he finds himself framed for murder but manages to escape and runs away. with nobody to trust  jang tae san has two weeks to try to prove his innocence and survive until his daughter's surgery. park jae kyung is a prosecutor searching for evidence to take down moon il suk  the man who stabbed her father  and jo seo hee  a beloved senator who is actually working with moon il suk. together with detective im seung woo   she works to uncover the truth behind the murder and its connections to moon il suk and jo seo hee.,action  thriller  mystery  drama,"Child Female Lead, Prosecutor Female Lead, Detective Male Lead, Single Father Male Lead, Leukemia, Wrongfully Accused, Slight Romance, Strong Male Lead, Conspiracy, Father-Daughter Relationship","Song Hyung Suk, Choi Jung Gyu",So Hyun Kyung,"Lee Joon Gi, Park Ha Sun, Ryu Soo Young, Kim So Yeon, Lee Chae Mi, Jo  Min Ki",JS Pictures,#130
"Work Later, Drink Now","Oct 22, 2021 - Nov 26, 2021",2021,tvN,Friday,12.0,35 min.,18+ Restricted (violence & profanity),8.5,ahn so hee  han ji yeon  and kang ji gu enjoy hanging out after work and drinking together. the three women are single and in their 30's. as for their jobs  so hee works as a broadcasting writer  ji yeon as a yoga instructor  and ji gu as a youtuber. meanwhile  kang buk gu works as a pd of the tv variety show. he hangs out with these three women.,comedy  life  drama,"Sismance, Adapted From A Webtoon, Drinking, Friendship, Confident Female Lead, Suicide, Death, Workplace Abuse, Instructor Female Lead, Screenwriter Female Lead",Kim Jung Shik,Wi So Young,"Lee Sun Bin, Han Sun Hwa, Jung Eun Ji, Choi Si Won, Kim Jung Min, Yoo Ji Yeon",Bon Factory Worldwide,#131
Dong Yi,"Mar 22, 2010 - Oct 12, 2010",2010,MBC,"Monday, Tuesday",60.0,1 hr. 5 min.,15+ - Teens 15 or older,8.5,"""dong yi"" is a historical drama based on the life of dong yi later known as choi suk bin. she worked in the royal palace as a lowly water maid. king sok jong then selected choi as his concubine. choi would then give birth to yeong jo  the second son of king sok jong and the future king of joseon. after the birth of yeong jo  dong yi would become suk bin.",adventure  historical  mystery  romance,"Harem, Joseon Dynasty, Investigation, King Male Lead, Skilled Fighter, Hidden Past, Noble Sacrifice, Skilled Killer, Orphan Female Lead, Royalty","Kim Sang Hyub, Lee Byung Hoon",Kim Yi Young,"Han Hyo Joo, Ji Jin Hee, Lee So Yeon, Bae Soo Bin, Park Ha Sun, Jung Jin Young","Lydus Contents Company, AStory",#132
Gaus Electronics,"Sep 30, 2022 - Nov 5, 2022",2022,"ENA, Olleh TV","Friday, Saturday",12.0,50 min.,15+ - Teens 15 or older,8.5,stress is no stranger to the members of marketing team 3 of the home appliance department at the gaus electronics hq. the firm is a busy  multinational company  but this is a team that most workers dream of getting out of – and where chaos is no stranger! some 10 employees make up the team. these include lee sang sik  a man with a positive personality who often misjudges his coworkers’ moods  causing trouble as a result! there is also cha na rae  the hot-tempered assistant manager! also among their number is baek ma tan  the heir of the owners of gaus electronics’ fiercest rival – power group. he was born with a silver spoon in his mouth  and has never known hardship. but he shocked his entire family when he decided to join gaus as a junior employee! his polar opposite is geon gang mi  who comes from more modest origins and has always tried to pull herself up by her bootstraps – pushing herself to succeed at every step (although she does have a tendency to change when she drinks alcohol!). while they seem to have very little in common at first  they slowly begin to form a bond  with possible sparks of romance in the air! will any of the marketing team succeed in escaping? or will they eventually find a way to quell the workplace chaos?,business  comedy  romance  life,"Office Setting, Hot-tempered Female Lead, Weak Male Lead, Workplace Setting, Workplace Politics, Office Worker Female Lead, Office Worker Male Lead, Heir Male Lead, Secretary Supporting Character, Age Gap [Real Life]",Park Joon Soo,"Kang Go-eun, Seo Han-na","Kwak Dong Yeon, Go Sung Hee, Bae Hyun Sung, Kang  Min Ah, Baek Hyun Jin, Heo Jung Do","Pan Entertainment, Ling-aling",#133
Angel's Last Mission: Love,"May 22, 2019 - Jul 11, 2019",2019,KBS2,"Wednesday, Thursday",32.0,35 min.,15+ - Teens 15 or older,8.5,lee yeon seo  is a cynical and arrogant ballerina. she is the prima ballerina  but after an accident she has to give up her dream. after her parents' sudden death  she doesn’t trust anyone since there are a lot of people lurking around her and her inherited money.  because of her distrust and arrogance  she is unable to love anyone. kim dan is an optimistic  carefree angel who is always getting into trouble. in order to return to heaven  he is tasked with a mission to find true love for the talented but emotionally distant ballerina.,comedy  romance  drama  fantasy,"Nice Male Lead, Warm Man/Cold Woman, Orphan Female Lead, Strong Female Lead, Opposites Attract, Ballet, Rich Female Lead, Tearjerker, Male Chases Female First, Cohabitation",Lee Jung Sub,Choi Yoon Kyo,"Kim Myung Soo, Shin Hye Sun, Lee Dong Gun, Kim  Bo Mi, Woo Hee Jin, Gil Eun Hye","Victory Contents, Monster Union",#134
The World of the Married,"Mar 27, 2020 - May 16, 2020",2020,jTBC,"Friday, Saturday",16.0,1 hr. 20 min.,18+ Restricted (violence & profanity),8.5,everything seems perfect in the life of the successful family doctor and associate director  ji sun woo. she lives happily in gosan with her handsome husband lee tae oh  whom she financially helped establish an entertainment company  and their teenage son  joon young. however  the perfect image of a happy  loving family life shatters when she discovers that her husband is having an affair  and even their mutual friends are helping him conceal it. devastated by the betrayal  she sets on a path of seeking revenge and recollecting her broken self.,thriller  romance  drama  melodrama,"Extramarital Affair, Revenge, Strong Female Lead, Lying, Sexual Content, Successful Female Lead, Friends To Enemies, Pregnancy, Psychological, Suspense",Mo Wan Il,Joo Hyun,"Kim Hee Ae, Park Hae Joon, Han So Hee, Park Sun Young, Kim Young Min, Chae Gook Hee","JTBC Studios, BBC Studios",#135
All of Us Are Dead,"Jan 28, 2022",2022,Netflix,Friday,12.0,1 hr. 2 min.,18+ Restricted (violence & profanity),8.5,a high school becomes ground zero for a zombie virus outbreak. trapped students must fight their way out — or turn into one of the rabid infected.,action  thriller  horror  sci-fi,"Survival, Zombies, Death, Zombie Apocalypse, Virus, High School, Student, Gore, School, Adapted From A Webtoon",Lee Jae Gyoo,Chun Sung Il,"Park Ji Hoo, Yoon Chan Young, Jo Yi Hyun, Lomon, Yoo In Soo, Kim Byung Chul","Film Monster, Kim Jong-hak Production",#136
Extracurricular,"Apr 29, 2020",2020,Netflix,Wednesday,10.0,55 min.,18+ Restricted (violence & profanity),8.5,"""extracurricular” is centered around four high school students who start committing crimes to earn money and the unpredictable dangers they face as a result. ji soo  who goes from a model student to a criminal after committing an unthinkable act. jung da bin as school bully min hee  who gets caught up in ji soo’s crime. park joo hyun will portray ji soo’s dangerous partner in crime gyu ri  while nam yoon soo will appear as min hee’s boyfriend and the school’s most popular guy ki tae.",psychological  crime  youth  drama,"Prostitution, Illegal Business, Student, High School, Greed, Sex Trafficking, Smart Male Lead, Rich Female Lead, Violence, Strong Female Lead",Kim Jin Min,Jin Han Sae,"Kim Dong Hee, Park Ju Hyun, Jung Da Bin, Nam Yoon Su, Choi Min Soo, Park Hyuk Kwon",Studio 329,#137
Yumi's Cells,"Sep 17, 2021 - Oct 30, 2021",2021,tvN," Friday, Saturday",14.0,1 hr. 10 min.,13+ - Teens 13 or older,8.5,controlled by a complex network of cells  each and every human on the planet is kept running by an unseen operating system that is  for the most part  completely ignored. though humans never give much thought to how they manage to function  day in and day out  the cells within the human body are constantly at work  doing their part to keep their human alive and well. which is why on the outside  kim yoo mi may appear to be just like every other single working woman in the world  but underneath that ordinary exterior lies something truly extraordinary.,psychological   comedy   romance   drama,"Career Woman, Slice Of Life, Friendship, Mixed Live Action-Animation, Office Worker, Workplace, Adapted From A Webtoon, Honest Male Lead, Game Developer, Personal Growth",Lee Sang Yeob,"Song Jae Jung, Kim Yoon Joo, Kim Kyung Ran","Kim Go Eun, Ahn Bo Hyun, Park Ji Hyun, Lee Yoo Bi, Joo Jong Hyuk, Park Jin Young","Studio Dragon, Merrycow Creative, Studio N, Locus Corporation",#138
Lost,"Sep 4, 2021 - Oct 24, 2021",2021,"iQiyi, jTBC","Saturday, Sunday",16.0,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"at forty years old  lee boo jeong has lost her way. she feels like she has reached the end of her potential and achieved absolutely nothing. lee kang jae is twenty-seven  a man at the end of his youth  and though ""afraid of nothing "" feels afraid his life will never amount to anything. ""lost"" tells the story of ordinary people walking towards the light who suddenly realize that 'nothing has happened' in the middle of the downhill road of life. it depicts the most ordinary daily life standing on the edge of darkness rather than light  a life where one cannot easily choose.",life  drama  melodrama,"Slow Burn Story, Depression, Philosophical, Father-Daughter Relationship, Friendship, Social Realism, Miscarriage, Older Woman/Younger Man, Hardworking Female Lead, Healing","Hur Jin Ho, Park Hong Soo",Kim Ji Hye,"Jeon Do Yeon, Ryu Joon Yeol, Park Byung Eun, Kim Hyo Jin, Park Ji Young, Park In Hwan","C-JeS Entertainment, Drama House",#139
Queen In Hyun's Man,"Apr 18, 2012 - Jun 7, 2012",2012,tvN,"Wednesday, Thursday",16.0,45 min.,15+ - Teens 15 or older,8.4,kim boong do is a scholar who had supported the reinstatement of queen in hyun when jang hee bin's schemes resulted in her being deposed and replaced as king suk jong's queen consort. he travels 300 years into the future of modern seoul and meets choi hee jin  a no-name actress who is expecting a career renaissance through her role as queen in hyun in a tv drama.,historical  comedy  romance  fantasy,"Time Travel, Smart Male Lead, Joseon Dynasty, Calm Male Lead, Nice Male Lead, Amnesia, Height Difference, Famous Lead/Common Lead, Past And Present, Fate",Kim Byung Soo,Song Jae Jung,"Ji Hyun Woo, Yoo In Na, Kim Jin Woo, Ga Deuk Hee, Seo Woo Jin, Kim Won Hae",Chorokbaem Media,#140
One Dollar Lawyer,"Sep 23, 2022 - Nov 11, 2022",2022,SBS,"Friday, Saturday",12.0,1 hr. 10 min.,,8.4,cheon ji hun is a lawyer with unusual flair. his hair has a stylish perm. his retainer is only 1 000 won despite being one of the most skilled lawyers around. he argues against the most expensive lawyers and their rich clients intent on flouting the law. since graduating from the judicial research and training institute   baek ma ri has been the prosecutor’s assistant. confident and self-assured  she is also a lawyer with her grandfather baek hyun mu's renowned baek law firm. ma ri’s life has been going smoothly  but her life changes when she meets cheon ji hun.,comedy  law  drama,"Lawyer Male Lead, Former Prosecutor Male Lead, Prosecutor Supporting Character, Lawyer Supporting Character, Slight Romance, Smart Female Lead, Rich Female Lead, Smart Male Lead, Poor Male Lead, Investigation",Kim Jae Hyun,"Choi Soo Jin, Choi Chang Hwan","Namkoong Min, Kim Ji Eun, Choi Dae Hoon, Lee Deok Hwa, Park Jin Woo, Ha Sung Kwang",Studio S,#141
If You Wish Upon Me,"Aug 10, 2022 - Sep 29, 2022",2022,"KBS2, ViuTV","Wednesday, Thursday",16.0,1 hr. 10 min.,15+ - Teens 15 or older,8.4,yoon kyeo re is a young man who has known nothing but misery ever since he was a child. he was abused while still a boy and had a torrid time at the orphanage where he was raised. he then spent time in a juvenile detention center. and as an adult  things got no better  leading to him serving time in prison. beatings and misery are all he knows  and he finds himself at the end of his tether  finally facing the void… but when he is ordered by a court to serve his community service at an end-of-life care facility for the terminally ill  things begin to change for him. here he meets the tireless kang tae shik  a middle-aged man who leads the volunteer team at the facility. kang tae shik has created a unit called team genie  which is dedicated to granting dying patients their last wishes. no matter what people ask for  team genie will work their hardest to make those precious last wishes come true. he also meets seo yeon joo  a young nurse who refuses to give up on her patients and tries to keep them physically active at all times. will working at this facility help turn yoon gyeo ree’s life around? or is it too late to change his destiny?,romance  life  drama  medical,"Healing, Terminal Illness, Hospice Care, Nurse Female Lead, Tearjerker, Tragic Past, Character Development, Strong Female Lead, Hardship, Dysfunctional Family",Kim Yong Wan,Jo Young Soo,"Ji Chang Wook, Choi Soo Young, Sung Dong Il, Won Ji An, Yang Hee Kyung, Kil Hae Yeon","A&E Networks Korea, Climax Studios",#142
I'm Not a Robot,"Dec 6, 2017 - Jan 25, 2018",2017,MBC,"Wednesday, Thursday",32.0,35 min.,15+ - Teens 15 or older,8.4,"kim min kyu is the largest shareholder of a financial company. he suffers from a ""human allergy""  preventing him from normal interactions with other people. he becomes interested in a robotic project named aji-3 created by the santa maria robotic team. the team is headed by hong baek gyun  inventor of aji-3 and world-renowned robotics professor. he modeled aji-3 after his ex-girlfriend  jo ji ah  a struggling inventor that also works as a personal shopper to make ends meet. just when kim min kyu wants to test the robot  an accident causes the malfunction of the robot's battery. hong baek gyun begs jo ji ah to take the place of aji-3 and pretend to be the robot so they can get funding from kim min kyu. but  aji-3 becomes the closest thing that the lonely min kyu has to real contact with another person.",comedy  romance  drama  sci-fi,"Haphephobia, Hidden Identity, Rich Male Lead, Robot, Eccentric Male Lead, Double Identity, Sismance, Hardworking Female Lead, Healing, Forgiveness",Jeong Dae Yun,Kim Sun Mi,"Yoo Seung Ho, Chae Soo Bin, Uhm Ki Joon, Park Se Wan, Song Jae Ryong, Go Geon Han",May Queen Pictures,#143
Memorist,"Mar 11, 2020 - Apr 30, 2020",2020,tvN,"Wednesday, Thursday",16.0,1 hr. 5 min.,15+ - Teens 15 or older,8.4,dong baek has an extraordinary ability. he can peer into the memories of whoever he touches. with his supernatural power  get it done attitude  and eye-pleasing looks  he is fervently revered worldwide as a superstar detective. however  when his punches meet with suspects before words  he can be a bit of a headache to his comrades. starting from the age of twenty  han sun mi is the youngest to have passed the bar exam  obtain a doctorate in criminal psychology  and become a senior superintendent in the police force. having solved five cold cases that even a detective with supernatural powers couldn't do  she is a genius profiler. she has a secret that drives her to do what she does. these two highly-skilled professionals meet their match—a serial killer with abilities that transcend theirs combined. it's going to be a fight worth watching.,action  thriller  mystery  supernatural,"Adapted From A Webtoon, Smart Female Lead, Eccentric Male Lead, Supernatural Power, Calm Female Lead, Investigation, Cult, Aggressive Male Lead, Violence, Murder","So Jae Hyun, Kim Hwi","Ahn Do Ha, Hwang Ha Na","Yoo Seung Ho, Lee Se Young, Jo Sung Ha, Ko Chang Seok, Yun Ji On, Jeon Hyo Sung",Studio 605,#144
Voice 2,"Aug 11, 2018 - Sep 16, 2018",2018,OCN,"Saturday, Sunday",12.0,60 min.,15+ - Teens 15 or older,8.4,listen closely  because skilled voice profiler kang kwon joo is back. working tirelessly at the emergency call center  she uses her first-rate hearing to save lives and catch culprits. when it comes to responding to emergencies within the vital “golden time ” kang kwon joo is simply the best. do kang woo is a mysterious man who’s able to tap into the mind of a criminal. he also hides a secret pain that he doesn’t share with anyone. when he meets kang kwon joo  they reluctantly form a team. she can hear crime; he can think it. together  they take on the most dangerous criminals their city has ever seen.,thriller  mystery  psychological,"Investigation, Strong Female Lead, Leadership, Suspense, Kidnapping, Tragic Past, Teamwork, Smart Female Lead, Emergency Communication Center, Murder",Lee Seung Young,Ma Jin Won,"Lee  Ha Na, Lee Jin Wook, Kwon Yool, Ahn Se Ha, Son Eun Seo, Kim Woo Seok",Content K,#145
Doom at Your Service,"May 10, 2021 - Jun 29, 2021",2021,"tvN, ViuTV","Monday, Tuesday",16.0,1 hr. 5 min.,15+ - Teens 15 or older,8.4,tak dong kyung has been working hard ever since her parents passed away. her life seemed more stable after working as a web novel editor for 6 years  but then she gets diagnosed with glioblastoma (brain cancer). she blames her unlucky life and wishes to curse everything to disappear  which unintentionally calls myeol mang  doom himself - neither human nor god - to appear. myeol mang says that he can grant dong kyung's wishes. as her last hope  she makes a contract with myeol mang for a hundred days to live how she wants  risking her everything.,comedy  romance  drama  fantasy,"Terminal Illness, Illness, Brain Cancer, Hardworking Female Lead, Unlucky Female Lead, Glioblastoma, First Love, Eccentric Male Lead, Brother-Sister Relationship, Fate",Kwon Young Il,Im Me Ah Ri,"Park Bo Young, Seo In Guk, Lee Soo Hyuk, Kang Tae Oh, Shin Do Hyun, Dawon","Studio&NEW, Studio Dragon",#146
Duel,"Jun 3, 2017 - Jul 23, 2017",2017,OCN,"Saturday, Sunday",16.0,1 hr. 3 min.,,8.4,jang deuk cheon  a hardened detective cop whose daughter is kidnapped  begins a chase against great odds to solve the mystery of his situation and find his child before it is too late. he starts to hunt down the suspect using the one clue he has: two men with the same face were at the crime scene.,thriller  mystery  sci-fi,"Amnesia, Human Experimentation, Kidnapping, Tragic Past, Father-Daughter Relationship, Bromance, Investigation, Suspense, Revenge, Murder",Lee Jong Jae,Kim Yoon Joo,"Jung Jae Young, Kim Jung Eun, Yang Se Jong, Seo Eun Soo, Kim Ki Doo, Yoon Gyung Ho",Chorokbaem Media,#147
Search: WWW,"Jun 5, 2019 - Jul 25, 2019",2019,tvN,"Wednesday, Thursday",16.0,1 hr. 10 min.,15+ - Teens 15 or older,8.4,this drama is about the conflicts  the wins  and losses one experiences when working. it will follow the story of 21st century women  who chose not to be a wife or a mother and successfully work without discrimination or impediments. bae ta mi works as a director for a big web portal company. she is in her late 30's and is quite competitive. with her competitiveness  ta mi enjoys success. the methods she uses to win has her wondering if she is doing the right thing with her life. has she sacrificed too much of her personal life for success? park mo gun is a man in his 20's and is a gifted composer. he creates music for video games. mo gun meets ta mi at an arcade. he falls in love with her due to her competitive spirit.,business  comedy  romance  drama,"Successful Female Lead, Smart Female Lead, Strong Female Lead, Independent Female Lead, Sismance, Social Media, Older Woman/Younger Man, Teamwork, Competition, Data Manipulation","Jung Ji Hyun, Kwon Young Il",Kwon Do Eun,"Im Soo Jung, Lee Da Hee, Jeon Hye Jin, Jang Ki Yong, Lee Jae Wook, Ji Seung Hyun",Hwa&Dam Pictures,#148
"From Now On, Showtime!","Apr 23, 2022 - Jun 12, 2022",2022,"MBC, ViuTV","Saturday, Sunday",16.0,1 hr. 13 min.,15+ - Teens 15 or older,8.4,cha cha woong is a popular if somewhat sardonic stage and tv magician with a taste for the spectacular. his tricks dazzle audiences  but little do most people know – he has a gang of secret helpers! however  these are no ordinary magician’s assistants: they are actually ghosts. but cha cha woong is not afraid of beings from the spirit realm – in fact  he treats them as his employees...and they  in turn  believe him to be their “boss.” one day  his path crosses with that of go seul hae  a young  passionate police officer. he attempts to brush her off when she investigates an incident connected to one of his magic shows. but she soon realizes that the magician’s unusual abilities could be the perfect crime-fighting tool. she manages to convince him to join the police force in its efforts to catch fiendish criminals – and use his ghostly retinue to help foil evil masterminds! but in the course of their unorthodox partnership  could romance also make an appearance on the scene?,mystery  comedy  romance  fantasy,"Supernatural, Ghost, Investigation, Magician Male Lead, Police Officer Female Lead, Ghost-seeing Male Lead, Slow Burn Romance, Special Power, Ghost Supporting Character, Love Triangle",Lee Hyung Min,Ha Yoon Ah,"Park Hae Jin, Jin Ki Joo, Jung Joon, Go Gyu Pil, Jung Suk Yong, Park Seo Yeon",Samhwa Networks,#149
Hello Monster,"Jun 22, 2015 - Aug 11, 2015",2015,KBS2,"Monday, Tuesday",16.0,1 hr. 10 min.,15+ - Teens 15 or older,8.4,genius profiler lee hyun  returns home to korea after something from a case he’s been sent triggers a memory he thought he’d lost forever. unbeknownst to him  one of his team members  detective cha ji an  has been investigating him for some time. she is aware that his father was murdered and his brother disappeared under mysterious circumstances involving a criminal named lee joon young -- whom they both want found and incarcerated. each seeks to unravel the other  unaware that they’ve been drawn into a dangerous game of cat and mouse by a master player and that both truth and evil are closer and far more twisted than they think.,thriller  mystery  psychological  drama,"Smart Male Lead, Investigation, Hidden Identity, Female Chases Male First, Eccentric Male Lead, Slight Romance, Bromance, Calm Male Lead, Hardworking Female Lead, Cold Man/Warm Woman","Kim Jin Won, No Sang Hoon",Kwon Ki Young,"Seo In Guk, Jang Na Ra, Park Bo Gum, Choi Won Young, Lee Chun Hee, Min Sung Wook",CJ ENM,#150
Moon Embracing the Sun,"Jan 4, 2012 - Mar 15, 2012",2012,MBC,"Wednesday, Thursday",20.0,1 hr. 5 min.,15+ - Teens 15 or older,8.4,thirteen-year-old heo yeon woo  the daughter of a high-ranking official  accompanies her mother to the royal palace to attend her brother  heo yeom's civil service examination congratulatory ceremony. by chance  she comes across crown prince lee hwon. they fall in love and yeon woo is chosen as the crown princess of joseon. before they can marry  however  the dowager queen secretly orders her death  in order to install yoon bo gyeong  the daughter of a family clan  as crown princess  thus securing more power for herself. she orders the head shaman to cast a spell on yeon woo to strike her with an unknown sickness. after dying  yeon woo is resurrected from her grave but loses her memories. all believe her to be dead  including crown prince lee hwon  who refuses to love another. eight years later  yeon woo returns as a shaman named wol (meaning moon). meanwhile  the young king begins to investigate the death of his love after seeing the grown-up wol. but he is fighting against time because the queen's powerful political clan wants him removed from power.,historical  romance  supernatural  political,"Lovers Separated, Amnesia, Power Struggle, Hidden Identity, Joseon Dynasty, First Love, Black Magic, Time Skip, Male Chases Female First, Brother-Sister Relationship","Lee Sung Joon, Kim Do Hoon",Jin Soo Wan,"Han Ga In, Kim Soo Hyun, Jung Il Woo, Kim Min Seo, Kim Yoo Jung, Yeo Jin Goo",Pan Entertainment,#151
Train,"Jul 11, 2020 - Aug 16, 2020",2020,OCN,"Saturday, Sunday",12.0,60 min.,15+ - Teens 15 or older,8.4,haunted by the thought that his drunkard father killed another man before also dying on the same day and not paying for his crime  seo do won lives his life trying to secretly repay han seo kyung for his father’s sin while hiding the truth. he is now a detective who overworks to escape his guilt  and she is a prosecutor who is still looking for her father’s killer. one day  do won stumbles upon corpses buried in an abandoned  old train station. classifying it as a serial murder case  do won and the police start investigating. however  the case becomes weird when a dead victim turns up alive and seo kyung is killed along with the discovery of a new corpse. realizing that the mysterious train that shows up in the abandoned station is a portal between parallel universes  do won travels to the other world to track the serial killer with the help of the other seo kyung.,thriller  mystery  sci-fi,"Parallel Dimension, Suspense, Murder, Death, Tough Female Lead, Slight Romance, Strong Male Lead, Crossworlds Traveler, First Love, Orphan Female Lead",Lee Seung Hoon,Park Ga Yun,"Yoon Shi Yoon, Kyung Soo Jin, Shin So Yool, Lee Hang Na, Nam Moon Chul, Jo Wan Ki",doFRAME,#152
Sh**ting Stars,"Apr 22, 2022 - Jun 11, 2022",2022,tvN,"Friday, Saturday",16.0,60 min.,15+ - Teens 15 or older,8.4,as one of the nation’s most beloved stars  gong tae sung is used to living his life in the spotlight. with the eyes of the world constantly on him  tae sung does his best to keep a smile on his face and his temper in check. seen by the people as a kind and polite young man  the only people who don’t buy into his whole good guy persona are those working for his management company. as the head of that company’s pr team  oh han byeol knows exactly what tae sung is really like. well aware of his strong desire to win and his hot temper  han byeol has had to employ her excellent speech and crisis management skills on a number of occasions  in order to keep tae sung’s reputation as spotless as it seems. constantly bickering  there isn’t anyone in the world better suited to the role of natural enemies than han byeol and tae sung. forever at odds with each other  tae sung and han byeol seem destined to hate each other forever. but could the time they’re forced to spend together change those feelings or will their mutual loathing last for all eternity?,comedy  romance  drama,"Entertainment Industry, Famous Male Lead, Multiple Mains, Enemies To Lovers, Love/Hate Relationship, Actor Male Lead, Multiple Couples, PR Specialist Female Lead, Actor/Actress Supporting Character, Reporter Female Lead",Lee Soo Hyun,"Choi Young Woo, Choi Yeon Seo","Lee Sung Kyung, Kim Young Dae, Yoon Jong Hoon, Kim Yoon Hye, Park So Jin, Lee Jung Shin",Mays Entertainment,#153
The Crowned Clown,"Jan 7, 2019 - Mar 4, 2019",2019,tvN,"Monday, Tuesday",16.0,1 hr. 20 min.,15+ - Teens 15 or older,8.4,joseon is in a state of disorder due to uprisings and a power struggle surrounding king lee hun. to avoid assassination  a clown named ha sun is brought to the palace to take the place of king lee hun. ha sun looks almost identical to king lee hun. when ha sun was a child  his parents died during an epidemic. ha sun almost died from starvation around that time  but he was saved by a group of clowns. ha sun grew up with the clowns and became one of them. during their performance  ha sun would play king lee hun due to their similar physical appearance. now  ha sun is nervous that someone in the palace will find out he is not the real king. he falls for beautiful queen yoo so woon.,historical  romance  melodrama  political,"Double Identity, Joseon Dynasty, Noble Woman/Common Man, Identity Swap, Power Struggle, Nice Male Lead, Doppelganger, Revenge, Rebellion, Poor Male Lead",Kim Hee Won,"Shin Ha Eun, Kim Sung Deok","Yeo Jin Goo, Lee Se Young, Kim Sang Kyung, Jang Gwang, Yoon Jong Seok, Yoon Gyung Ho",GTist,#154
Mad Dog,"Oct 11, 2017 - Nov 30, 2017",2017,KBS2,"Wednesday, Thursday",16.0,60 min.,15+ - Teens 15 or older,8.4,choi kang woo  who is a former police and leader of taeyang insurance's investigators team  decides to create his own investigation team  after an airplane crash that took the life of his wife and son. he then meets kim min joon  a genius former swindler whose brother was also a victim of the crash  thus begin their rivalry and cooperation. the drama portrays the reality of korea through diverse insurance crimes that are prevalent in the country. there are the 'copy cats' that imitate and improve the existing crimes  and the 'mad dogs' who catch these bad cats.,action  thriller  mystery,"Revenge, Tragic Past, Enemy Mine, Corruption, Insurance, Strong Female Lead, Teamwork, Fraud, Investigation, Bromance",Hwang Eui Kyung,Kim Soo Jin,"Yoo Ji Tae, Woo Do Hwan, Ryu Hwa Young, Jo Jae Yoon, Kim Hye Sung, Hong Soo Hyun","Imagine Asia, Celltrion Entertainment",#155
Birthcare Center,"Nov 2, 2020 - Nov 24, 2020",2020,tvN,"Monday, Tuesday",8.0,1 hr. 5 min.,15+ - Teens 15 or older,8.4,oh hyun jin  has had a glittering career in her work life. she is the youngest member on the board of executives at the company she works at and is used to acing everything she does. but when she delivers her first child  she is in for a shock. giving birth was far more difficult than she had expected  and she quickly discovers that although she is a dab hand at all things work-related  she hasn’t got the first clue about how to bring up a baby. after being discharged from hospital  she heads to a birth care center – an exclusive establishment where even a-list stars come to get postpartum care. she is dismayed to realize that she is the oldest mother in the center  and embarrassed to notice that everyone else seems to know what they are doing when it comes to looking after babies. fortunately  the other mothers at the center prove inspirational. among their number is cho eun jung  aka the queen bee – a seemingly perfect mother whom everyone wants to befriend in order to learn childcare secrets. and choi hye sook is the charismatic center manager – a veritable font of knowledge about all things childcare-related.,comedy  life  drama  melodrama,"Motherhood, Childbirth, Strong Female Lead, Older Woman/Younger Man, Sismance, Black Comedy, Hardworking Female Lead, Independent Female Lead, Multiple Mains, Pregnancy",Park Soo Won,Kim Ji Soo,"Uhm Ji Won, Park Ha Sun, Choi Ri, Jang Hye Jin, Yoon Park, Im Hwa Young","tvN, RaemongRaein Co., Ltd.",#156
Nine: Nine Times Time Travel,"Mar 11, 2013 - May 14, 2013",2013,tvN,"Monday, Tuesday",20.0,52 min.,15+ - Teens 15 or older,8.4,park sun woo works as an anchorman at a tv broadcasting station. he is in love with news reporters joo min young  who is bright and honest. park sun woo then obtains 9 incense items  which allows him to go back 20 years in time. sun woo travels to the past in an attempt to keep his family safe in order to change the world he lives in today. however  this is not without consequences for his actions in the past affects the lives of many in the present  including his crush.,mystery  romance  supernatural,"Time Travel, 1990s, Bromance, Female Chases Male First, Announcer Male Lead, Reporter Female Lead, Magical Object, Arrogant Male Lead, Brain Tumor, Hidden Past",Kim Byung Soo,"Song Jae Jung, Kim Yoon Joo","Lee Jin Wook, Lee Seung Joon, Jo Yoon Hee, Oh Min Suk, Lee Yi Kyung, Jo Min Ah","JS Pictures, Chorokbaem Media",#157
